ACT Symbol|Security Name|Exchange|CQS Symbol|NASDAQ Symbol|ETF|Round Lot Size|Test Issue|Market Category|Financial Status|NextShares
AACB|Artius II Acquisition Inc. - Class A Ordinary Shares|NASDAQ|AACB|AACB|N|100.0|N|G|N|N
AACBR|Artius II Acquisition Inc. - Rights|NASDAQ|AACBR|AACBR|N|100.0|N|G|N|N
AACBU|Artius II Acquisition Inc. - Units|NASDAQ|AACBU|AACBU|N|100.0|N|G|N|N
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|NASDAQ|AACG|AACG|N|100.0|N|S|N|N
AADR|AdvisorShares Dorsey Wright ADR ETF|NASDAQ|AADR|AADR|Y|100.0|N|G|N|N
AAEQ|Alpha Architect US Equity 2 ETF|NASDAQ|AAEQ|AAEQ|Y|100.0|N|G|N|N
AAL|American Airlines Group, Inc. - Common Stock|NASDAQ|AAL|AAL|N|100.0|N|Q|N|N
AALG|Leverage Shares 2X Long AAL Daily ETF|NASDAQ|AALG|AALG|Y|100.0|N|G|N|N
AAME|Atlantic American Corporation - Common Stock|NASDAQ|AAME|AAME|N|100.0|N|G|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|NASDAQ|AAOI|AAOI|N|100.0|N|G|N|N
AAON|AAON, Inc. - Common Stock|NASDAQ|AAON|AAON|N|100.0|N|Q|N|N
AAPB|GraniteShares 2x Long AAPL Daily ETF|NASDAQ|AAPB|AAPB|Y|100.0|N|G|N|N
AAPD|Direxion Daily AAPL Bear 1X Shares|NASDAQ|AAPD|AAPD|Y|100.0|N|G|N|N
AAPG|Ascentage Pharma Group International - American Depository Shares|NASDAQ|AAPG|AAPG|N|100.0|N|G|N|N
AAPL|Apple Inc. - Common Stock|NASDAQ|AAPL|AAPL|N|100.0|N|Q|N|N
AAPU|Direxion Daily AAPL Bull 2X Shares|NASDAQ|AAPU|AAPU|Y|100.0|N|G|N|N
AARD|Aardvark Therapeutics, Inc. - Common Stock|NASDAQ|AARD|AARD|N|100.0|N|Q|N|N
AAUS|Alpha Architect US Equity ETF|NASDAQ|AAUS|AAUS|Y|100.0|N|G|N|N
AAVM|Alpha Architect Global Factor Equity ETF|NASDAQ|AAVM|AAVM|Y|100.0|N|G|N|N
AAXJ|iShares MSCI All Country Asia ex Japan ETF|NASDAQ|AAXJ|AAXJ|Y|100.0|N|G|N|N
ABAT|American Battery Technology Company - Common Stock|NASDAQ|ABAT|ABAT|N|100.0|N|S|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|NASDAQ|ABCL|ABCL|N|100.0|N|Q|N|N
ABCS|Alpha Blue Capital US Small-Mid Cap Dynamic ETF|NASDAQ|ABCS|ABCS|Y|100.0|N|G|N|N
ABEO|Abeona Therapeutics Inc. - Common Stock|NASDAQ|ABEO|ABEO|N|100.0|N|S|N|N
ABI|VictoryShares Pioneer Asset-Based Income ETF|NASDAQ|ABI|ABI|Y|100.0|N|G|N|N
ABIG|Argent Large Cap ETF|NASDAQ|ABIG|ABIG|Y|100.0|N|G|N|N
ABLV|Able View Global Inc. - Class B Ordinary Shares|NASDAQ|ABLV|ABLV|N|100.0|N|S|D|N
ABLVW|Able View Global Inc. - Warrant|NASDAQ|ABLVW|ABLVW|N|100.0|N|S|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|NASDAQ|ABNB|ABNB|N|100.0|N|Q|N|N
ABNG|Leverage Shares 2x Long ABNB Daily ETF|NASDAQ|ABNG|ABNG|Y|100.0|N|G|N|N
